	d1	d2	t1	t2	pendiente
0	19849.5298727	19685.8186262	2015-08-17 06:54:52	2015-08-17 06:56:02	-140.323925616
1	19685.8186262	19543.5202319	2015-08-17 06:56:02	2015-08-17 06:57:12	-121.97005222
2	19543.5202319	19356.66461	2015-08-17 06:57:12	2015-08-17 06:57:47	-320.32392321
3	19356.66461	19030.5861658	2015-08-17 06:57:47	2015-08-17 06:58:57	-279.495809325
4	19030.5861658	18806.0976548	2015-08-17 06:58:57	2015-08-17 07:00:07	-192.41872376
5	18806.0976548	18538.1979185	2015-08-17 07:00:07	2015-08-17 07:01:17	-229.628345371
6	18538.1979185	18408.4394858	2015-08-17 07:01:17	2015-08-17 07:01:52	-222.443027507
7	18408.4394858	18108.4914987	2015-08-17 07:01:52	2015-08-17 07:03:02	-257.098274682
8	18108.4914987	17849.1114091	2015-08-17 07:03:02	2015-08-17 07:04:12	-222.325791045
9	17849.1114091	17788.3088342	2015-08-17 07:04:12	2015-08-17 07:04:47	-104.232985571
10	17788.3088342	17423.2465873	2015-08-17 07:04:47	2015-08-17 07:05:57	-312.910497386
11	17423.2465873	17005.7593448	2015-08-17 07:05:57	2015-08-17 07:07:07	-357.846207786
12	17005.7593448	16754.2807079	2015-08-17 07:07:07	2015-08-17 07:08:17	-215.553117399
13	16754.2807079	16727.1439536	2015-08-17 07:08:17	2015-08-17 07:08:52	-46.5201502649
14	16727.1439536	16233.9438691	2015-08-17 07:08:52	2015-08-17 07:10:02	-422.742929566
15	16233.9438691	15958.4330828	2015-08-17 07:10:02	2015-08-17 07:11:12	-236.152102476
16	15958.4330828	15935.2087542	2015-08-17 07:11:12	2015-08-17 07:11:47	-39.8131347538
17	15935.2087542	15788.9939912	2015-08-17 07:11:47	2015-08-17 07:12:57	-125.326939714
18	15788.9939912	15613.1684015	2015-08-17 07:12:57	2015-08-17 07:14:07	-150.707648376
19	15613.1684015	15493.350923	2015-08-17 07:14:07	2015-08-17 07:15:17	-102.700695795
20	15493.350923	15376.1462146	2015-08-17 07:15:17	2015-08-17 07:15:52	-200.922357371
21	15376.1462146	14530.9481172	2015-08-17 07:15:52	2015-08-17 07:17:02	-724.455512009
