dataHora,ordem,linha,latitude,longitude,velocidade
08-02-2015 00:00:06,B63008,,"-22.7927","-43.2944",0
08-02-2015 00:00:07,B58182,312,"-22.8388","-43.2837",43
08-02-2015 00:01:07,B63104,,"-22.7928","-43.2946",0
08-02-2015 00:01:23,B63053,,"-22.8674","-43.2584",0
08-02-2015 00:03:26,D53676,,"-22.88413","-43.496181",0
08-02-2015 00:05:06,C42596,667,"-22.870581","-43.34169",0
08-02-2015 00:07:41,A63509,,"-22.867689","-43.25872",0
08-02-2015 00:11:21,B63057,,"-22.7926","-43.2945",0
08-02-2015 00:11:54,B58157,312,"-22.8376","-43.2859",0
08-02-2015 00:15:48,B31147,399,"-22.8147","-43.3859",0
08-02-2015 00:16:21,D13238,803,"-22.880136","-43.357918",0
08-02-2015 00:22:09,B58146,621,"-22.8367","-43.2865",29
08-02-2015 00:23:58,D86048,884,"-22.896101","-43.53286",19.82
08-02-2015 00:25:41,D53735,846,"-22.88312","-43.49511",0
08-02-2015 00:28:15,B71083,455,"-22.9031","-43.313",0
08-02-2015 00:28:29,B71093,247,"-22.899","-43.313",0
08-02-2015 00:31:32,A63538,,"-22.86787","-43.258759",0
08-02-2015 00:31:49,B19586,,"-22.8112","-43.3422",0
08-02-2015 00:33:26,B58019,313,"-22.8382","-43.2847",17
08-02-2015 00:33:38,D53534,,"-22.88426","-43.495918",0
08-02-2015 00:34:20,C41416,,"-22.85811","-43.245869",16
08-02-2015 00:34:22,A63540,,"-22.86767","-43.258781",0
08-02-2015 00:34:31,B32658,296,"-22.9012","-43.2084",18
08-02-2015 00:40:35,B63082,,"-22.7921","-43.2942",1
08-02-2015 00:41:41,B58078,312,"-22.8382","-43.2846",49
08-02-2015 00:42:26,B63056,,"-22.8679","-43.2584",0
08-02-2015 00:46:49,A63534,,"-22.867531","-43.258881",0
08-02-2015 00:47:29,B58111,623,"-22.8396","-43.2825",32
08-02-2015 00:54:36,D53508,,"-22.884291","-43.4958",0
08-02-2015 00:54:40,D53601,,"-22.883089","-43.489689",44
08-02-2015 00:54:41,A63539,,"-22.867599","-43.258579",0
08-02-2015 00:58:55,B63026,,"-22.7925","-43.2944",0
08-02-2015 00:59:21,B71157,238,"-22.9032","-43.3134",0
08-02-2015 01:03:02,B42514,,"-22.8765","-43.3297",0
08-02-2015 01:04:11,A41082,132,"-22.874134","-43.242554",0
08-02-2015 01:10:23,B42566,,"-22.8764","-43.3301",0
08-02-2015 01:11:14,B42609,,"-22.8764","-43.3303",0
08-02-2015 01:14:03,B42526,,"-22.8764","-43.33",0
08-02-2015 01:14:32,A63535,,"-22.8678","-43.258732",1
08-02-2015 01:14:53,B71159,239,"-22.9027","-43.315",0
08-02-2015 01:14:57,B10105,322,"-22.8153","-43.187",0
08-02-2015 01:15:59,D53560,,"-22.883169","-43.495121",0
08-02-2015 01:19:08,B42507,,"-22.8767","-43.3299",0
08-02-2015 01:23:38,C42538,607,"-22.876699","-43.3297",0
08-02-2015 01:23:44,D90023,754,"-22.918871","-43.643768",0
08-02-2015 01:24:58,B28513,326,"-22.816","-43.1879",0
08-02-2015 01:26:54,B10408,2342,"-22.9061","-43.1807",0
08-02-2015 01:28:02,B42549,,"-22.8765","-43.3299",0
08-02-2015 01:28:29,B10109,915,"-22.8151","-43.188",0
08-02-2015 01:28:44,B71105,247,"-22.9029","-43.3139",0
08-02-2015 01:28:51,B10047,,"-22.8151","-43.1873",0
08-02-2015 01:28:54,B10104,915,"-22.8153","-43.1867",0
08-02-2015 01:28:55,B10170,,"-22.8146","-43.1876",0
08-02-2015 01:29:20,B10076,,"-22.8157","-43.1874",0
08-02-2015 01:29:52,C41412,,"-22.85811","-43.245918",2
08-02-2015 01:30:19,D53704,,"-22.883869","-43.495621",0
08-02-2015 01:33:42,B63090,,"-22.7923","-43.2943",0
08-02-2015 01:37:00,A63501,177,"-22.86767","-43.258621",0
08-02-2015 01:37:08,A63511,177,"-22.867571","-43.258789",0
08-02-2015 01:37:10,A63508,177,"-22.86771","-43.258789",0
08-02-2015 01:45:58,B63069,,"-22.7923","-43.2943",0
08-02-2015 01:48:25,C20216,611,"-22.95805","-43.34618",0
08-02-2015 02:10:54,C12016,,"-23.013269","-43.540192",0
08-02-2015 02:12:37,D87151,,"-22.917971","-43.608391",0
08-02-2015 02:14:52,D53639,397,"-22.883301","-43.495152",0
08-02-2015 02:15:17,B71018,239,"-22.9032","-43.3133",0
08-02-2015 02:15:22,A63510,,"-22.86759","-43.258678",0
08-02-2015 02:15:28,B71089,247,"-22.9047","-43.3041",0
08-02-2015 02:15:39,B10092,,"-22.815","-43.1874",0
08-02-2015 02:15:52,B71060,247,"-22.9029","-43.3144",0
08-02-2015 02:16:06,B71043,247,"-22.9028","-43.3149",0
08-02-2015 02:20:02,B63096,334,"-22.7925","-43.2944",1
08-02-2015 02:25:07,D53737,846,"-22.88166","-43.498379",52
08-02-2015 02:46:37,B10159,924,"-22.8154","-43.1876",0
08-02-2015 02:48:42,B10097,SV901,"-22.7885","-43.1625",31
08-02-2015 02:50:42,A55049,434,"-22.9056","-43.260818",0
08-02-2015 02:59:06,B63052,,"-22.793","-43.2945",0
08-02-2015 03:01:36,D13249,801,"-22.880018","-43.35696",3
08-02-2015 03:10:16,B19614,,"-22.8092","-43.3427",0
08-02-2015 03:15:43,C42554,607,"-22.876801","-43.329601",0
08-02-2015 03:27:00,B63032,,"-22.7924","-43.2945",0
08-02-2015 03:40:04,B63071,SR335,"-22.7924","-43.2942",0
08-02-2015 03:40:04,B63101,,"-22.7924","-43.2946",0
08-02-2015 03:44:09,B63108,,"-22.7926","-43.2945",0
08-02-2015 03:46:24,B58123,628,"-22.838","-43.285",49
08-02-2015 03:47:42,B63060,942,"-22.7923","-43.2943",0
08-02-2015 03:48:00,B63006,,"-22.7927","-43.2945",0
08-02-2015 03:48:09,B63084,,"-22.8675","-43.2588",0
08-02-2015 03:48:46,A63541,107,"-22.86787","-43.2584",1
08-02-2015 03:58:18,D53574,393,"-22.881901","-43.49725",15
08-02-2015 04:02:39,D53586,397,"-22.880871","-43.500729",41
08-02-2015 04:04:05,D53713,,"-22.884279","-43.495991",0
08-02-2015 04:07:48,B63097,919,"-22.8675","-43.2583",0
08-02-2015 04:08:00,B63098,334,"-22.7924","-43.2942",0
08-02-2015 04:08:01,B63094,919,"-22.8674","-43.2584",0
08-02-2015 04:08:06,B63085,919,"-22.8676","-43.2586",0
08-02-2015 04:17:12,B58126,,"-22.8371","-43.2866",16
08-02-2015 04:30:06,D87419,,"-22.919769","-43.607121",0
08-02-2015 04:39:38,D53672,369,"-22.88348","-43.49474",0
08-02-2015 04:42:22,B60003,,"-22.8148","-43.3861",4
08-02-2015 04:43:11,B58175,,"-22.8379","-43.2851",19
08-02-2015 04:46:16,D53629,397,"-22.883141","-43.495079",4
08-02-2015 04:54:15,C13071,,"-22.880743","-43.358574",0
08-02-2015 04:59:19,D53705,,"-22.884399","-43.496479",0
08-02-2015 05:08:03,B71106,239,"-22.9018","-43.2801",0
08-02-2015 05:11:48,D53636,,"-22.88448","-43.49522",0
08-02-2015 05:12:36,B11549,773,"-22.8111","-43.3724",0.93
08-02-2015 05:36:56,B63063,,"-22.8674","-43.2586",0
08-02-2015 05:39:11,A37613,,"-22.90263","-43.197262",0
08-02-2015 05:40:18,A41044,132,"-22.875313","-43.24052",0
08-02-2015 05:47:03,D53567,369,"-22.88409","-43.496151",0
08-02-2015 05:54:18,D86197,837,"-22.894844","-43.533161",0
08-02-2015 05:54:50,B58187,,"-22.8371","-43.2866",15
08-02-2015 06:24:09,D53558,,"-22.884159","-43.49572",0
08-02-2015 06:32:56,D53921,,"-22.883381","-43.495579",0
08-02-2015 06:37:40,D53514,,"-22.884121","-43.49556",0
08-02-2015 06:47:42,B75652,928,"-22.8655","-43.336",46
08-02-2015 06:52:03,D53712,,"-22.884331","-43.49501",0
08-02-2015 06:57:15,D53715,,"-22.88422","-43.495659",0
08-02-2015 06:59:03,B44582,,"-22.8608","-43.3559",0
08-02-2015 07:00:47,C20209,600,"-22.956779","-43.345928",6
08-02-2015 07:02:13,B63004,,"-22.7924","-43.2942",0
08-02-2015 07:04:31,B75627,928,"-22.8655","-43.3363",30
08-02-2015 07:08:39,D53697,,"-22.88397","-43.495251",0
08-02-2015 07:17:59,D53578,,"-22.884371","-43.494881",0
08-02-2015 07:24:32,D53608,,"-22.88373","-43.494709",0
08-02-2015 07:24:33,D53710,,"-22.88335","-43.494949",0
08-02-2015 07:29:27,D53720,,"-22.884239","-43.4953",0
08-02-2015 07:30:36,D53725,,"-22.88368","-43.49559",0
08-02-2015 07:36:29,A63507,,"-22.86764","-43.258801",0
08-02-2015 07:42:34,D53537,,"-22.88385","-43.495319",0
08-02-2015 07:43:16,D60120,300,"-22.88522","-43.374512",45
08-02-2015 07:43:26,D53906,,"-22.884029","-43.495239",0
08-02-2015 07:49:47,D53627,,"-22.883711","-43.494652",0
08-02-2015 07:52:45,A37586,162,"-22.911091","-43.184078",0
08-02-2015 07:57:05,B75635,,"-22.8306","-43.3241",0
08-02-2015 07:58:23,B32513,793,"-22.8551","-43.3864",23
08-02-2015 08:04:08,D53596,,"-22.88397","-43.496239",0
08-02-2015 08:07:24,B63054,,"-22.8674","-43.2584",0
08-02-2015 08:08:46,D53903,,"-22.88409","-43.495621",0
08-02-2015 08:08:56,D53526,,"-22.88406","-43.49519",0
08-02-2015 08:09:07,D53588,,"-22.883801","-43.495312",0
08-02-2015 08:10:05,D53718,,"-22.88341","-43.494839",0
08-02-2015 08:13:37,D53613,,"-22.88357","-43.496059",0
08-02-2015 08:14:35,D53717,,"-22.884279","-43.494869",0
08-02-2015 08:14:38,C20111,,"-22.957979","-43.345772",0
08-02-2015 08:16:00,D53644,,"-22.884399","-43.495312",0
08-02-2015 08:22:08,D53614,,"-22.883921","-43.4953",0
08-02-2015 08:25:35,D53597,369,"-22.88439","-43.49511",0
08-02-2015 08:33:08,D53641,,"-22.8836","-43.494881",0
08-02-2015 08:34:11,D86271,852,"-22.893766","-43.532196",0
08-02-2015 08:44:18,D87707,,"-22.918659","-43.608601",0
08-02-2015 08:45:22,D53714,,"-22.88389","-43.494659",0
08-02-2015 08:47:15,A63519,,"-22.86742","-43.25861",0
08-02-2015 08:47:35,D53620,,"-22.884069","-43.495022",0
08-02-2015 08:58:10,D53556,,"-22.88364","-43.494709",0
08-02-2015 09:03:30,B10010,322,"-22.9082","-43.1698",0
08-02-2015 09:21:05,B63047,,"-22.7927","-43.2946",0
08-02-2015 09:21:24,B63031,,"-22.7928","-43.2945",0
08-02-2015 09:21:27,C42618,607,"-22.8769","-43.3297",0
08-02-2015 09:22:07,B63001,,"-22.7928","-43.2947",0
08-02-2015 09:32:53,B11618,778,"-22.8116","-43.3726",0
08-02-2015 09:39:27,C47874,,"-22.952988","-43.350933",0
08-02-2015 09:42:39,C42630,607,"-22.876249","-43.330589",0
08-02-2015 09:50:56,D87856,,"-22.91736","-43.6073",0
08-02-2015 10:04:31,A27596,,"-22.91984","-43.256748",0
08-02-2015 10:08:24,A71618,409,"-22.901733","-43.180763",36.3
08-02-2015 10:10:07,A50046,,"-23.008446","-43.303696",0
08-02-2015 10:11:32,B60519,2295,"-22.8168","-43.2816",0
08-02-2015 10:14:12,B32642,944,"-22.8152","-43.3518",27
08-02-2015 10:19:50,D13256,803,"-22.877575","-43.364391",19
08-02-2015 10:20:11,B63044,,"-22.7926","-43.2942",0
08-02-2015 10:20:12,B63088,,"-22.7924","-43.2944",0
08-02-2015 10:20:23,D13165,812,"-22.848803","-43.523876",0
08-02-2015 10:21:05,D87383,,"-22.916941","-43.607071",0
08-02-2015 10:23:09,B60082,,"-22.8153","-43.387",0
08-02-2015 10:25:31,A37679,180,"-22.90197","-43.196819",0
08-02-2015 10:27:01,B63015,,"-22.8673","-43.2584",0
08-02-2015 10:27:11,B63065,,"-22.7929","-43.2948",0
08-02-2015 10:29:21,B63106,919,"-22.8673","-43.2585",0
08-02-2015 10:30:52,D87432,,"-22.919781","-43.60881",0
08-02-2015 10:32:55,B31140,404,"-22.8043","-43.3097",5.19
08-02-2015 10:34:28,C47948,,"-22.953262","-43.349785",0
08-02-2015 10:40:38,B32707,,"-22.818","-43.393",0
08-02-2015 10:41:20,B63095,,"-22.7925","-43.2943",0
08-02-2015 10:46:21,B71008,455,"-22.9028","-43.3147",0.19
08-02-2015 10:47:42,D87874,,"-22.91827","-43.607948",0
08-02-2015 10:54:18,C27015,940,"-22.817181","-43.30127",0
08-02-2015 10:54:22,C47516,,"-22.953375","-43.350437",0
08-02-2015 10:55:48,C47721,382,"-23.001726","-43.32872",57
08-02-2015 10:58:03,D53504,397,"-22.88204","-43.49678",62
08-02-2015 10:59:10,B10510,,"-22.8679","-43.2573",0
08-02-2015 11:00:16,D87128,SV841,"-22.898689","-43.55489",0
08-02-2015 11:01:52,B58099,313,"-22.8404","-43.2814",39
08-02-2015 11:06:39,D53753,689,"-22.882641","-43.495461",35
08-02-2015 11:13:04,D13252,,"-22.880285","-43.35804",0
08-02-2015 11:14:45,A27530,605,"-22.917179","-43.250431",0
08-02-2015 11:34:51,B58026,621,"-22.837","-43.2866",18
08-02-2015 11:40:43,C20252,,"-22.95706","-43.34634",0
08-02-2015 11:49:29,D53515,369,"-22.88409","-43.495708",0
08-02-2015 11:51:46,B58044,313,"-22.8389","-43.2833",43
08-02-2015 11:59:50,B58036,312,"-22.8404","-43.2812",37
08-02-2015 12:02:21,A71599,409,"-22.911064","-43.171844",0.19
